Employee,Action
1,Promote Individual 1 level
2,Promote Individual 1 level
3,Promote Individual 1 level
4,Increase Salary 10%
5,Promote Individual 1 level
6,Increase Salary 10%
7,Promote Individual 1 level
8,Promote Individual 1 level
9,Promote Individual 1 level
10,Promote Individual 1 level
11,Increase Stock Options 1 level
12,Increase Salary 10%
13,Promote Individual 1 level
14,Promote Individual 1 level
15,Promote Individual 1 level
16,Promote Individual 1 level
17,Promote Individual 1 level
18,Increase Salary 10%
19,Promote Individual 1 level
20,Promote Individual 1 level
21,Promote Individual 1 level
22,Promote Individual 1 level
23,Promote Individual 1 level
24,Promote Individual 1 level
25,Promote Individual 1 level
26,Increase Salary 10%
27,Promote Individual 1 level
28,Promote Individual 1 level
29,Increase Salary 10%
30,Promote Individual 1 level
31,Promote Individual 1 level
32,Promote Individual 1 level
33,Increase Salary 10%
34,Promote Individual 1 level
35,Increase Stock Options 1 level
36,Promote Individual 1 level
37,Promote Individual 1 level
38,Increase Salary 10%
39,Promote Individual 1 level
40,Promote Individual 1 level
41,Increase Salary 10%
42,Increase Salary 10%
43,Increase Salary 10%
44,Promote Individual 1 level
45,Increase Stock Options 1 level
46,Promote Individual 1 level
47,Promote Individual 1 level
48,Promote Individual 1 level
49,Promote Individual 1 level
50,Promote Individual 1 level
51,Promote Individual 1 level
52,Promote Individual 1 level
53,Promote Individual 1 level
54,Promote Individual 1 level
55,Increase Stock Options 1 level
56,Promote Individual 1 level
57,Promote Individual 1 level
58,Increase Stock Options 1 level
59,Promote Individual 1 level
60,Promote Individual 1 level
61,Increase Stock Options 1 level
62,Promote Individual 1 level
63,Promote Individual 1 level
64,Promote Individual 1 level
65,Promote Individual 1 level
66,Promote Individual 1 level
67,Promote Individual 1 level
68,Promote Individual 1 level
69,Promote Individual 1 level
70,Increase Salary 10%
71,Promote Individual 1 level
72,Increase Salary 10%
73,Promote Individual 1 level
74,Promote Individual 1 level
75,Promote Individual 1 level
76,Promote Individual 1 level
77,Promote Individual 1 level
78,Promote Individual 1 level
79,Promote Individual 1 level
80,Promote Individual 1 level
81,Increase Stock Options 1 level
82,Promote Individual 1 level
83,Promote Individual 1 level
84,Promote Individual 1 level
85,Promote Individual 1 level
86,Promote Individual 1 level
87,Promote Individual 1 level
88,Increase Salary 10%
89,Promote Individual 1 level
90,Promote Individual 1 level
91,Promote Individual 1 level
92,Promote Individual 1 level
93,Promote Individual 1 level
94,Increase Salary 10%
95,Promote Individual 1 level
96,Increase Stock Options 1 level
97,Promote Individual 1 level
98,Increase Stock Options 1 level
99,Increase Salary 10%
100,Promote Individual 1 level
101,Promote Individual 1 level
102,Promote Individual 1 level
103,Promote Individual 1 level
104,Promote Individual 1 level
105,Promote Individual 1 level
106,Promote Individual 1 level
107,Increase Stock Options 1 level
108,Promote Individual 1 level
109,Promote Individual 1 level
110,Promote Individual 1 level
111,Promote Individual 1 level
112,Promote Individual 1 level
113,Promote Individual 1 level
114,Promote Individual 1 level
115,Promote Individual 1 level
116,Increase Stock Options 1 level
117,Increase Salary 10%
118,Promote Individual 1 level
119,Promote Individual 1 level
120,Promote Individual 1 level
121,Promote Individual 1 level
122,Promote Individual 1 level
123,Increase Stock Options 1 level
124,Promote Individual 1 level
125,Promote Individual 1 level
126,Increase Stock Options 1 level
127,Increase Salary 10%
128,Increase Stock Options 1 level
129,Promote Individual 1 level
130,Promote Individual 1 level
131,Promote Individual 1 level
132,Promote Individual 1 level
133,Promote Individual 1 level
134,Promote Individual 1 level
135,Promote Individual 1 level
136,Increase Salary 10%
137,Promote Individual 1 level
138,Promote Individual 1 level
139,Promote Individual 1 level
140,Promote Individual 1 level
141,Promote Individual 1 level
142,Promote Individual 1 level
143,Promote Individual 1 level
144,Promote Individual 1 level
145,Increase Salary 10%
146,Promote Individual 1 level
147,Promote Individual 1 level
148,Promote Individual 1 level
149,Increase Salary 10%
150,Promote Individual 1 level
151,Promote Individual 1 level
152,Promote Individual 1 level
153,Promote Individual 1 level
154,Promote Individual 1 level
155,Promote Individual 1 level
156,Promote Individual 1 level
157,Increase Salary 10%
158,Promote Individual 1 level
159,Promote Individual 1 level
160,Promote Individual 1 level
161,Promote Individual 1 level
162,Promote Individual 1 level
163,Promote Individual 1 level
164,Promote Individual 1 level
165,Promote Individual 1 level
166,Increase Salary 10%
167,Promote Individual 1 level
168,Promote Individual 1 level
169,Promote Individual 1 level
170,Increase Stock Options 1 level
171,Increase Salary 10%
172,Increase Salary 10%
173,Increase Stock Options 1 level
174,Promote Individual 1 level
175,Promote Individual 1 level
176,Promote Individual 1 level
177,Promote Individual 1 level
178,Increase Salary 10%
179,Promote Individual 1 level
180,Increase Salary 10%
181,Promote Individual 1 level
182,Promote Individual 1 level
183,Promote Individual 1 level
184,Promote Individual 1 level
185,Promote Individual 1 level
186,Promote Individual 1 level
187,Increase Stock Options 1 level
188,Promote Individual 1 level
189,Promote Individual 1 level
190,Promote Individual 1 level
191,Promote Individual 1 level
192,Increase Stock Options 1 level
193,Promote Individual 1 level
194,Promote Individual 1 level
195,Promote Individual 1 level
196,Promote Individual 1 level
197,Promote Individual 1 level
198,Promote Individual 1 level
199,Promote Individual 1 level
200,Promote Individual 1 level
201,Promote Individual 1 level
202,Increase Salary 10%
203,Promote Individual 1 level
204,Increase Stock Options 1 level
205,Increase Stock Options 1 level
206,Increase Salary 10%
207,Promote Individual 1 level
208,Promote Individual 1 level
209,Promote Individual 1 level
210,Promote Individual 1 level
211,Promote Individual 1 level
212,Increase Salary 10%
213,Promote Individual 1 level
214,Promote Individual 1 level
