Age,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1,2,1,2,1,2,3,2,4,5993,1,11,3,0,8,0,1,6,4,0,5
49,0,3,2,1,1,3,2,2,2,5130,0,23,4,1,10,3,3,10,7,1,7
37,1,2,2,2,6,4,2,1,3,2090,1,15,3,0,7,3,3,0,0,0,0
33,0,3,2,4,1,4,3,1,3,2909,1,11,3,0,8,3,3,8,7,3,0
27,0,2,2,1,2,1,3,1,2,3468,0,12,3,1,6,3,3,2,2,2,2
32,0,3,2,2,1,4,3,1,4,3068,0,13,3,0,8,2,2,7,7,3,6
59,0,2,2,3,2,3,4,1,1,2670,1,20,4,3,12,3,2,1,0,0,0
30,0,2,2,1,1,4,3,1,3,2693,0,22,4,1,1,2,3,1,0,0,0
38,0,3,2,3,1,4,2,3,3,9526,0,21,4,0,10,2,3,9,7,1,8
36,0,2,2,3,2,3,3,2,3,5237,0,13,3,2,17,3,2,7,7,7,7
35,0,2,2,3,2,1,4,1,2,2426,0,13,3,1,6,5,3,5,4,0,3
29,0,2,2,2,1,4,2,2,3,4193,1,12,3,0,10,3,3,9,5,0,8
31,0,2,2,1,1,1,3,1,3,2911,0,17,3,1,5,1,2,5,2,4,3
34,0,2,2,2,2,2,3,1,4,2661,0,11,3,1,3,2,3,2,2,1,2
28,1,2,2,3,1,3,2,1,3,2028,1,14,3,0,6,4,3,4,2,0,3
29,0,2,2,4,1,2,4,3,1,9980,0,11,3,1,10,1,3,10,9,8,8
32,0,2,2,2,1,1,4,1,2,3298,1,12,3,2,7,5,2,6,2,0,5
22,0,1,2,2,2,4,4,1,4,2935,1,13,3,2,1,2,2,1,0,0,0
53,0,2,1,4,1,1,2,4,4,15427,0,16,3,0,31,3,3,25,8,3,7
38,0,2,2,3,1,4,3,1,4,3944,1,11,3,0,6,3,3,3,2,1,2
24,0,1,2,2,6,1,4,2,3,4011,0,18,3,1,5,5,2,4,2,1,3
36,1,2,1,4,1,3,2,1,1,3407,0,23,4,0,10,4,3,5,3,0,3
34,0,2,2,4,1,1,3,3,2,11994,0,11,3,0,13,4,3,12,6,2,11
21,0,2,2,2,1,3,3,1,4,1232,0,14,3,0,0,6,3,0,0,0,0
34,1,2,2,1,2,2,3,1,1,2960,0,11,3,0,8,2,3,4,2,1,3
53,0,2,2,3,6,3,3,5,3,19094,0,11,3,1,26,3,2,14,13,4,8
32,1,3,2,1,1,2,1,1,1,3919,1,22,4,0,10,5,3,10,2,6,7
42,0,2,1,4,3,3,3,2,2,6825,0,11,3,1,10,2,3,9,7,4,2
44,0,2,2,4,2,1,2,3,4,10248,0,14,3,1,24,4,3,22,6,5,17
46,0,2,1,4,3,2,3,5,1,18947,0,12,3,0,22,2,2,2,2,2,1
33,0,2,2,3,2,3,3,1,4,2496,0,11,3,0,7,3,3,1,1,0,0
44,0,2,2,4,6,4,3,2,4,6465,1,13,3,0,9,5,4,4,2,1,3
30,0,2,2,2,2,4,2,1,3,2206,0,13,3,0,10,5,3,10,0,1,8
39,1,2,1,3,4,4,3,2,4,2086,0,14,3,1,19,6,4,1,0,0,0
24,1,2,2,3,2,2,3,1,4,2293,1,16,3,1,6,2,2,2,0,2,0
43,0,2,2,2,2,4,4,1,3,2645,0,12,3,2,6,3,2,5,3,1,4
50,1,2,1,2,3,1,2,1,3,2683,1,14,3,0,3,2,3,3,2,0,2
35,0,2,1,3,3,4,3,1,4,2014,0,13,3,0,2,3,3,2,2,2,2
36,0,2,2,4,1,2,2,1,1,3419,1,14,3,1,6,3,4,1,1,0,0
33,0,3,1,3,1,3,4,2,1,5376,0,19,3,2,10,3,3,5,3,1,3
35,0,2,2,2,6,3,3,1,4,1951,0,12,3,1,1,3,3,1,0,0,0
27,0,2,2,4,1,4,3,1,1,2341,0,13,3,1,1,6,3,1,0,0,0
26,1,2,2,3,1,1,1,1,3,2293,0,12,3,0,1,2,2,1,0,0,1
27,0,3,1,3,1,4,3,3,3,8726,0,15,3,0,9,0,3,9,8,1,7
30,0,3,2,2,2,3,3,2,4,4011,0,23,4,0,12,2,3,12,8,3,7
41,1,2,2,3,4,2,3,5,3,19545,0,12,3,0,23,0,3,22,15,15,8
34,0,1,1,4,3,2,3,2,3,4568,0,20,4,0,10,2,3,9,5,8,7
37,0,2,2,2,1,2,3,1,2,3022,0,21,4,0,8,1,3,1,0,0,0
46,0,3,1,4,3,1,3,2,4,5772,1,21,4,0,14,4,3,9,6,0,8
35,0,2,2,1,1,4,4,1,4,2269,0,19,3,0,1,2,3,1,0,0,1
48,1,2,2,2,1,1,2,3,3,5381,1,13,3,0,23,2,3,1,0,0,0
28,1,2,2,4,4,3,3,1,3,3441,1,13,3,0,2,3,2,2,2,2,2
44,0,2,1,5,3,2,3,2,1,5454,1,21,4,1,9,2,2,4,3,1,3
35,0,1,2,2,2,3,2,3,1,9884,1,13,3,1,10,3,3,4,0,2,3
26,0,2,1,3,3,3,2,2,4,4157,1,19,3,1,5,2,2,2,2,0,0
33,0,3,2,2,1,1,3,3,4,13458,1,12,3,0,15,1,3,15,14,8,12
35,0,3,1,5,1,2,3,3,1,9069,0,22,4,1,9,3,2,9,8,1,8
35,0,2,2,4,2,3,3,1,1,4014,1,15,3,1,4,3,3,2,2,2,2
31,0,2,2,4,1,4,3,2,4,5915,0,22,4,1,10,3,2,7,7,1,7
37,0,2,2,4,1,1,2,2,3,5993,0,18,3,1,7,2,4,7,5,0,7
32,0,2,2,3,2,1,3,2,4,6162,1,22,4,1,9,3,3,9,8,7,8
38,0,3,2,5,1,4,3,2,4,2406,0,11,3,0,10,2,3,10,3,9,9
50,0,2,2,2,2,2,2,5,3,18740,1,12,3,1,29,2,2,27,3,13,8
59,0,2,1,3,1,1,3,3,1,7637,0,11,3,0,28,3,2,21,16,7,9
36,0,2,2,3,4,3,3,3,3,10096,0,13,3,3,17,2,3,17,14,12,8
55,0,2,2,3,2,4,3,4,3,14756,1,14,3,3,21,2,3,5,0,0,2
36,0,3,2,3,1,2,2,2,2,6499,0,13,3,0,6,3,3,6,5,0,3
45,0,2,2,3,1,2,3,3,1,9724,0,17,3,1,25,2,3,1,0,0,0
35,0,3,2,3,2,2,3,1,1,2194,0,13,3,1,5,2,2,3,2,1,2
36,1,2,2,3,2,4,2,1,3,3388,1,17,3,1,2,0,2,1,0,0,0
59,0,3,1,1,1,1,2,2,3,5473,0,11,3,0,20,2,2,4,3,1,3
29,0,2,2,3,1,3,3,1,2,2703,0,23,4,1,6,3,3,5,4,0,4
31,0,2,2,4,2,3,3,1,2,2501,0,17,3,0,1,4,3,1,1,1,0
32,0,2,2,3,1,2,3,2,2,6220,0,17,3,2,10,3,3,10,4,0,9
36,0,2,2,3,1,2,4,1,4,3038,0,12,3,0,5,3,3,1,0,0,0
31,0,2,2,4,1,3,3,2,4,4424,0,23,4,0,11,2,3,11,7,1,8
35,0,2,1,4,3,3,2,2,1,4312,0,14,3,0,16,2,3,15,13,2,8
45,0,2,2,4,6,4,3,3,1,13245,1,14,3,0,17,3,4,0,0,0,0
37,0,2,2,4,2,1,3,3,3,13664,0,13,3,0,16,3,4,5,2,0,2
46,0,2,3,2,2,2,3,2,2,5021,1,22,4,1,16,2,3,4,2,0,2
30,0,2,2,1,1,4,2,2,4,5126,1,12,3,2,10,1,2,10,8,3,0
35,0,2,2,3,2,2,2,1,3,2859,0,18,3,0,6,3,3,6,4,0,4
55,0,2,1,2,1,1,3,3,4,10239,0,14,3,1,24,4,3,1,0,1,0
38,0,1,2,3,2,2,1,2,4,5329,1,12,3,3,17,3,3,13,11,1,9
34,0,2,2,2,2,1,3,2,2,4325,0,15,3,0,5,2,3,5,2,1,3
56,0,2,2,3,1,4,1,3,4,7260,0,11,3,0,37,3,2,6,4,0,2
23,0,2,1,1,4,3,3,1,1,2322,0,13,3,1,3,3,3,0,0,0,0
51,0,2,2,4,1,4,3,1,4,2075,0,23,4,2,10,4,3,4,2,0,3
30,0,2,2,3,1,3,2,2,4,4152,0,19,3,3,11,3,3,11,10,10,8
46,1,2,1,2,2,3,2,3,4,9619,0,16,3,0,9,3,3,9,8,4,7
40,0,3,2,4,1,3,2,4,2,13503,0,22,4,1,22,3,2,22,3,11,11
51,0,2,1,4,3,3,3,2,4,5441,1,22,4,0,11,2,1,10,7,1,0
30,0,2,1,2,2,3,2,2,2,5209,1,12,3,3,11,4,2,11,8,2,7
46,0,3,2,3,2,3,2,3,1,10673,1,13,3,1,21,5,2,10,9,9,5
32,0,2,1,4,2,2,3,2,3,5010,0,16,3,0,12,0,3,11,8,5,7
54,0,2,2,4,4,1,3,3,3,13549,0,12,3,1,16,5,1,4,3,0,3
24,0,2,1,2,6,1,3,2,3,4999,0,21,4,1,4,2,2,3,2,0,2
28,0,1,1,3,2,2,3,2,3,4221,0,15,3,0,5,3,4,5,4,0,4
58,0,2,1,4,2,4,3,4,3,13872,0,13,3,0,38,1,2,37,10,1,8
44,0,1,2,3,2,2,3,2,2,2042,0,12,3,1,17,3,4,3,2,1,2
37,1,2,3,4,5,3,3,1,1,2073,1,22,4,0,7,3,3,3,2,0,2
32,0,2,2,1,1,4,3,1,1,2956,0,13,3,0,1,2,3,1,0,0,0
20,1,3,2,3,1,4,2,1,4,2926,1,18,3,0,1,5,3,1,0,1,0
34,0,2,2,4,6,1,3,2,3,4809,0,14,3,0,16,3,3,16,13,2,10
37,0,1,2,2,1,3,2,2,4,5163,0,14,3,1,17,2,4,1,0,0,0
59,0,1,3,4,5,3,2,5,4,18844,0,21,4,1,30,3,3,3,2,2,2
50,0,3,2,3,1,1,3,5,2,18172,1,19,3,0,28,1,2,8,3,0,7
25,1,2,1,3,3,3,2,2,3,5744,1,11,3,0,6,1,3,6,4,0,3
25,0,2,2,1,2,4,2,1,4,2889,0,11,3,2,2,2,3,2,2,2,1
22,0,2,2,3,2,2,3,1,4,2871,0,15,3,0,1,5,3,0,0,0,0
51,0,3,2,4,2,1,2,3,1,7484,0,20,4,0,23,1,2,13,12,12,8
34,1,3,2,3,1,1,1,2,3,6074,1,24,4,0,9,3,3,9,7,0,6
54,0,1,3,3,5,4,4,4,4,17328,1,12,3,0,23,3,3,5,3,4,4
24,0,2,2,1,1,2,3,1,3,2774,0,12,3,1,6,2,3,5,3,1,2
34,0,2,2,4,1,3,2,2,2,4505,0,15,3,1,12,3,3,1,0,0,0
37,0,2,1,3,1,3,3,3,4,7428,0,12,3,0,12,3,3,5,3,1,3
34,0,2,2,3,2,3,2,3,1,11631,0,12,3,0,14,6,3,11,10,5,8
36,0,3,1,2,4,2,3,3,4,9738,0,14,3,1,10,6,3,9,7,2,8
36,0,2,2,2,1,1,3,1,4,2835,0,22,4,1,7,2,3,1,0,0,0
43,0,3,1,2,1,3,3,4,4,16959,1,12,3,2,25,3,4,25,12,4,12
30,0,3,2,3,1,1,1,1,3,2613,0,25,4,3,10,2,2,10,7,0,9
33,0,1,1,2,3,3,3,2,2,6146,0,13,3,1,8,2,4,7,7,0,7
56,1,2,2,4,1,2,3,1,2,4963,1,18,3,3,7,2,3,5,4,4,3
51,0,2,2,3,1,1,3,5,3,19537,0,13,3,0,23,5,3,20,18,15,15
31,1,2,1,4,1,2,1,2,3,6172,1,18,3,0,12,3,2,7,7,7,7
26,0,2,2,3,6,3,2,1,2,2368,0,19,3,0,5,3,2,5,4,4,3
58,1,2,2,4,2,4,3,3,4,10312,0,12,3,1,40,3,2,40,10,15,6
19,1,2,1,1,3,4,3,1,3,1675,1,19,3,0,0,2,2,0,0,0,0
