Employee,Action
1,Eliminate Overtime
2,Eliminate Overtime
3,Eliminate Overtime
4,Eliminate Overtime
5,Increase Stock Options 1 level
6,Eliminate Overtime
7,Eliminate Overtime
8,Increase Stock Options 1 level
9,Increase Salary 10%
10,Increase Stock Options 1 level
11,Increase Salary 10%
12,Eliminate Overtime
13,Increase Salary 10%
14,Eliminate Overtime
15,Eliminate Overtime
16,Eliminate Overtime
17,Increase Stock Options 1 level
18,Eliminate Overtime
19,Eliminate Overtime
20,Eliminate Overtime
21,Eliminate Overtime
22,Eliminate Overtime
23,Eliminate Overtime
24,Increase Stock Options 1 level
25,Increase Stock Options 1 level
26,Increase Stock Options 1 level
27,Increase Salary 10%
28,Eliminate Overtime
29,Increase Salary 10%
30,Increase Stock Options 1 level
31,Increase Stock Options 1 level
32,Eliminate Overtime
33,Increase Stock Options 1 level
34,Increase Salary 10%
35,Increase Stock Options 1 level
36,Increase Stock Options 1 level
37,Increase Stock Options 1 level
38,Eliminate Overtime
39,Eliminate Overtime
40,Eliminate Overtime
41,Increase Stock Options 1 level
42,Increase Stock Options 1 level
43,Eliminate Overtime
44,Eliminate Overtime
45,Eliminate Overtime
46,Increase Salary 10%
47,Eliminate Overtime
48,Eliminate Overtime
49,Increase Stock Options 1 level
50,Eliminate Overtime
51,Increase Stock Options 1 level
52,Eliminate Overtime
53,Eliminate Overtime
54,Eliminate Overtime
55,Eliminate Overtime
56,Eliminate Overtime
57,Eliminate Overtime
58,Eliminate Overtime
59,Eliminate Overtime
60,Eliminate Overtime
61,Increase Stock Options 1 level
62,Eliminate Overtime
63,Eliminate Overtime
64,Eliminate Overtime
65,Eliminate Overtime
66,Increase Stock Options 1 level
67,Eliminate Overtime
68,Eliminate Overtime
69,Increase Stock Options 1 level
70,Eliminate Overtime
71,Eliminate Overtime
72,Eliminate Overtime
73,Eliminate Overtime
74,Eliminate Overtime
75,Increase Salary 10%
76,Increase Stock Options 1 level
77,Eliminate Overtime
78,Eliminate Overtime
79,Eliminate Overtime
80,Increase Stock Options 1 level
81,Eliminate Overtime
82,Increase Stock Options 1 level
83,Eliminate Overtime
84,Increase Salary 10%
85,Eliminate Overtime
86,Eliminate Overtime
87,Eliminate Overtime
88,Increase Salary 10%
89,Eliminate Overtime
90,Increase Salary 10%
91,Eliminate Overtime
92,Eliminate Overtime
93,Increase Salary 10%
94,Increase Stock Options 1 level
95,Increase Stock Options 1 level
96,Eliminate Overtime
97,Eliminate Overtime
98,Increase Salary 10%
99,Increase Salary 10%
100,Eliminate Overtime
101,Increase Salary 10%
102,Increase Salary 10%
103,Eliminate Overtime
104,Eliminate Overtime
105,Eliminate Overtime
106,Eliminate Overtime
